시도명,지역,품목,대형폐기물구분명,규격,유무료여부,수수료,관리기관명,데이터기준일자,홈페이지,,
서울특별시,구로구,냉장고,가전제품류,500L이상,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,냉장고,가전제품류,300L이상,유료,7000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,냉장고,가전제품류,300L미만,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,냉장고,가전제품류,업소용(대형),유료,15000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,냉장고,가전제품류,김치냉장고,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,다리미,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,선풍기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,세탁기,가전제품류,10kg이상,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,세탁기,가전제품류,10kg미만,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,오디오본체,가전제품류,높이1m이상,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,오디오본체,가전제품류,높이1m미만,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,오디오스피커,가전제품류,높이1m이상,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,오디오스피커,가전제품류,높이1m미만,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
