epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.55786,1.08853,2.77235,1.20471,0.00417,0.45455,0.02668,0.02445,0.93904,3.43564,1.045,0,0,0
2,5.92163,1.17584,2.8246,1.23187,0.00417,0.45455,0.02871,0.02518,0.93854,3.43156,1.04377,1.9802e-05,1.9802e-05,1.9802e-05
3,6.96551,1.15049,2.77184,1.16645,0.00417,0.45455,0.02033,0.01678,0.93916,3.43716,1.04606,3.9208e-05,3.9208e-05,3.9208e-05
4,7.87237,0.92371,2.77649,1.073,0.00417,0.45455,0.01853,0.01585,0.93641,3.44472,1.04794,5.8218e-05,5.8218e-05,5.8218e-05
5,8.76295,0.91501,2.72158,1.14082,0.00417,0.45455,0.04314,0.0339,0.93443,3.44314,1.04622,7.6832e-05,7.6832e-05,7.6832e-05
6,9.73469,1.04491,2.95943,1.15336,0.00417,0.45455,0.0402,0.03596,0.895,3.43593,1.02687,9.505e-05,9.505e-05,9.505e-05
7,11.935,0.91852,2.76389,1.1174,0.00417,0.45455,0.04721,0.04379,0.84806,3.44139,1.01042,0.000112872,0.000112872,0.000112872
8,13.1443,0.92672,2.67248,1.13665,0.00417,0.45455,0.06332,0.05612,0.82059,3.43088,0.99103,0.000130298,0.000130298,0.000130298
9,14.361,0.94057,2.60916,1.0629,0.00417,0.45455,0.1208,0.10438,0.84785,3.42267,0.97748,0.000147328,0.000147328,0.000147328
10,16.3281,0.9679,2.56855,1.11725,0.00417,0.45455,0.14288,0.12938,0.85353,3.4318,0.99021,0.000163962,0.000163962,0.000163962
11,18.9543,0.89142,2.50841,1.06467,0.00417,0.45455,0.16219,0.1437,0.95925,3.41653,1.05434,0.0001802,0.0001802,0.0001802
12,21.7008,0.88855,2.35676,1.08283,0.005,0.54545,0.21541,0.17188,0.97849,3.38596,1.02034,0.000196042,0.000196042,0.000196042
13,24.4382,0.90079,2.31888,1.029,0.005,0.54545,0.21189,0.1673,1.01389,3.36501,1.03406,0.000211488,0.000211488,0.000211488
14,27.0994,0.86207,2.11064,1.00449,0.005,0.54545,0.23257,0.19321,1.02365,3.38245,1.03532,0.000226538,0.000226538,0.000226538
15,29.7186,0.79463,2.05614,0.93605,0.00667,0.72727,0.2574,0.20336,0.94175,3.30562,0.98943,0.000241192,0.000241192,0.000241192
