epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6625,1.45923,2.82446,1.52629,0.00926,0.83333,0.066,0.04256,1.06929,2.94858,1.30533,0.0001,0.0001,0.0001
2,26.5493,1.39919,2.78625,1.42475,0.01111,1,0.51783,0.28713,1.08623,2.76328,1.12705,0.000217822,0.000217822,0.000217822
3,40.5591,1.27258,2.28708,1.2913,0.01111,1,0.74105,0.41226,1.23875,2.72668,1.18267,0.000333268,0.000333268,0.000333268
4,47.2544,1.3181,2.21147,1.32969,0.01111,1,0.80721,0.52423,1.07707,2.49643,1.09864,0.000446338,0.000446338,0.000446338
5,60.1176,1.37771,1.91317,1.34935,0.72968,0.56667,0.67982,0.42252,1.22576,2.35905,1.18562,0.000557032,0.000557032,0.000557032
6,74.0112,1.22692,1.56731,1.25823,0.75993,0.31721,0.68445,0.41405,1.22046,2.30189,1.17935,0.00066535,0.00066535,0.00066535
7,87.158,1.20696,1.42146,1.24176,0.63232,0.46667,0.6006,0.31392,1.50842,2.28534,1.56781,0.000771292,0.000771292,0.000771292
8,100.743,1.24304,1.33103,1.25956,0.78598,0.49004,0.70234,0.3561,1.41005,2.33573,1.39278,0.000874858,0.000874858,0.000874858
9,115.394,1.22543,1.35668,1.26118,0.90986,0.5,0.72283,0.44589,1.17412,2.24167,1.09368,0.000976048,0.000976048,0.000976048
10,129.348,1.25966,1.35432,1.24834,0.59686,0.2,0.38868,0.21569,1.44144,2.56492,1.2712,0.00107486,0.00107486,0.00107486
11,142.341,1.27022,1.26927,1.27165,0.36861,0.25338,0.31348,0.13841,1.79504,2.70987,1.56914,0.0011713,0.0011713,0.0011713
12,150.26,1.17284,1.26195,1.23702,0.5923,0.62964,0.68407,0.29872,1.49339,1.9056,1.40532,0.00126536,0.00126536,0.00126536
13,163.253,1.1821,1.24699,1.20948,0.49484,0.66667,0.60494,0.27596,1.60863,2.08436,1.73382,0.00135705,0.00135705,0.00135705
14,176.13,1.22335,1.22229,1.19438,0.34282,0.66667,0.27031,0.10584,1.79918,2.43464,2.0303,0.00144636,0.00144636,0.00144636
15,189.321,1.24667,1.21402,1.22721,0.41387,0.53333,0.35153,0.17036,1.65765,2.34585,1.92362,0.00153329,0.00153329,0.00153329
16,201.437,1.17791,1.2003,1.19746,0.57646,0.56667,0.55629,0.28339,1.52384,2.08535,1.69592,0.00161785,0.00161785,0.00161785
17,213.529,1.18121,1.11966,1.21558,0.4834,0.63333,0.57196,0.27142,1.56896,2.08071,1.68837,0.0016832,0.0016832,0.0016832
18,225.862,1.13018,1.07536,1.1578,0.60442,0.63333,0.57493,0.30807,1.59757,1.80806,1.52041,0.0016634,0.0016634,0.0016634
19,238.208,1.13526,1.03999,1.13868,0.62715,0.72898,0.67915,0.40778,1.52454,1.63768,1.40722,0.0016436,0.0016436,0.0016436
20,250.442,1.14118,1.09599,1.15475,0.6822,0.8,0.78054,0.50165,1.4473,1.43831,1.27055,0.0016238,0.0016238,0.0016238
21,263.394,1.10193,1.04441,1.15096,0.88055,0.76667,0.76635,0.50383,1.25,1.43488,1.20276,0.001604,0.001604,0.001604
22,277.761,1.08376,1.01023,1.12421,0.83109,0.86667,0.87174,0.55727,1.25973,1.46359,1.22805,0.0015842,0.0015842,0.0015842
23,291.803,1.06815,0.99855,1.14095,0.91176,0.83333,0.8925,0.53862,1.37396,1.42954,1.30649,0.0015644,0.0015644,0.0015644
24,303.349,1.10046,1.02224,1.15763,0.83685,0.9,0.91413,0.48127,1.37129,1.24955,1.45528,0.0015446,0.0015446,0.0015446
25,314.777,1.09164,1.00046,1.13871,0.86093,0.82559,0.87395,0.53217,1.21139,1.32254,1.19664,0.0015248,0.0015248,0.0015248
26,326.176,1.04312,0.96669,1.1221,0.89481,0.8,0.9217,0.58862,1.10571,1.22232,1.12037,0.001505,0.001505,0.001505
27,337.491,1.03967,0.96029,1.11407,0.87578,0.83333,0.89773,0.62079,1.09637,1.41251,1.13414,0.0014852,0.0014852,0.0014852
28,348.813,1.09097,0.96587,1.1469,0.88274,0.7,0.86316,0.59127,1.08011,1.40379,1.09258,0.0014654,0.0014654,0.0014654
29,359.707,1.09204,0.94539,1.13297,0.69326,0.67827,0.73793,0.5008,1.17517,1.6011,1.11028,0.0014456,0.0014456,0.0014456
30,371.261,1.02716,0.96482,1.11737,0.77863,0.73333,0.82781,0.54999,1.13786,1.28903,1.12839,0.0014258,0.0014258,0.0014258
31,375.874,1.03085,0.88656,1.08387,0.84075,0.83333,0.85089,0.5685,1.24268,1.17228,1.17471,0.001406,0.001406,0.001406
32,379.904,1.00005,0.88345,1.0884,0.72761,0.83333,0.80506,0.53694,1.29437,1.33146,1.23225,0.0013862,0.0013862,0.0013862
33,391.73,1.01482,0.86999,1.12018,0.59175,0.8,0.66639,0.44747,1.32979,1.51968,1.25788,0.0013664,0.0013664,0.0013664
34,403.363,1.03859,0.88724,1.10303,0.73123,0.83333,0.78325,0.52654,1.22236,1.33616,1.2065,0.0013466,0.0013466,0.0013466
35,416.027,1.00161,0.86597,1.10692,0.752,0.86667,0.79873,0.52464,1.21637,1.21983,1.14002,0.0013268,0.0013268,0.0013268
36,420.313,0.98936,0.86117,1.1093,0.78346,0.8,0.78965,0.49478,1.27078,1.3168,1.18184,0.001307,0.001307,0.001307
37,424.801,0.94873,0.82697,1.07608,0.85831,0.73333,0.82833,0.55236,1.21279,1.13789,1.1563,0.0012872,0.0012872,0.0012872
38,436.347,1.02489,0.84676,1.11847,0.8202,0.93333,0.8389,0.55381,1.23697,0.91111,1.12188,0.0012674,0.0012674,0.0012674
39,442.2,0.96194,0.84589,1.10615,0.7791,0.96667,0.85893,0.56108,1.28318,0.93379,1.10368,0.0012476,0.0012476,0.0012476
40,454.341,0.97302,0.79494,1.08521,0.83943,0.93333,0.90845,0.63134,1.10023,1.04392,1.06846,0.0012278,0.0012278,0.0012278
41,466.063,0.9598,0.80259,1.08367,0.91374,0.86667,0.8955,0.6174,1.14722,1.19445,1.11017,0.001208,0.001208,0.001208
42,478.031,0.96165,0.80281,1.08639,0.85862,0.9,0.93027,0.61291,1.1946,1.00785,1.17595,0.0011882,0.0011882,0.0011882
43,489.849,0.93496,0.78168,1.06203,0.81617,0.88821,0.92973,0.60548,1.20339,0.97601,1.14223,0.0011684,0.0011684,0.0011684
44,501.723,0.92752,0.78724,1.04904,0.87047,0.89618,0.91704,0.59991,1.21855,0.92846,1.18435,0.0011486,0.0011486,0.0011486
